,Pitcher,NinetyFive,Five,Median Control,Pis,Mus,Covariances
11,"Kennedy, Ian",6.218246847396767,9.131026254563029,7.7949096914359615,[0.28799598 0.71200402],"[[-0.07501964  2.05652171]
 [-0.47374881  2.99789066]]","[[[0.19987299 0.0183742 ]
  [0.0183742  0.12199655]]

 [[0.28252937 0.02460319]
  [0.02460319 0.33192787]]]"
22,"Flaherty, Jack",6.6404603465968535,10.858982679759727,7.806935292352961,[0.32703044 0.16577683 0.50719272],"[[-0.28759224  1.83044332]
 [-0.76410845  2.60238081]
 [-0.01681087  3.15095812]]","[[[ 0.34294207 -0.04305736]
  [-0.04305736  0.12351589]]

 [[ 0.18583721 -0.10588864]
  [-0.10588864  0.0721779 ]]

 [[ 0.43243785 -0.07664667]
  [-0.07664667  0.20856134]]]"
111,"Cole, Gerrit",6.035113691700479,10.023552236034464,7.8348422762612575,[0.21005301 0.53306771 0.25687928],"[[ 0.19788172  3.70640159]
 [-0.09281538  2.59438115]
 [-0.6201679   3.41101164]]","[[[ 0.17673948 -0.06444529]
  [-0.06444529  0.17652034]]

 [[ 0.29729049 -0.05494904]
  [-0.05494904  0.29345682]]

 [[ 0.19058078 -0.11421405]
  [-0.11421405  0.3320549 ]]]"
86,"Bieber, Shane",6.407499341070359,10.549789382757336,7.858721965694537,[0.61259615 0.17775658 0.20964727],"[[-0.67224625  3.02598302]
 [ 0.71551733  2.84935525]
 [ 0.053387    2.25512073]]","[[[ 0.19176207  0.04978729]
  [ 0.04978729  0.45529331]]

 [[ 0.05454997 -0.07103899]
  [-0.07103899  0.81204405]]

 [[ 0.05805004  0.04884062]
  [ 0.04884062  0.19776838]]]"
52,"McKenzie, Triston",6.143611652598645,10.609828379785014,7.870151910615059,[0.16049112 0.31398884 0.34746093 0.17805911],"[[-0.1841199   1.93992232]
 [-0.07905605  3.39824775]
 [ 0.19695401  2.89748732]
 [-0.85455404  2.33273039]]","[[[ 0.12994547 -0.14171635]
  [-0.14171635  0.29291153]]

 [[ 0.22231176 -0.03581184]
  [-0.03581184  0.33637024]]

 [[ 0.22699671 -0.09093149]
  [-0.09093149  0.41627549]]

 [[ 0.05620805 -0.02837625]
  [-0.02837625  0.39454248]]]"
23,"Steckenrider, Drew",5.464949658897156,9.71196341551026,7.915828768841115,[0.42162131 0.57837869],"[[-0.30081321  3.58594893]
 [-0.28804538  2.66511316]]","[[[ 0.31465913 -0.1251824 ]
  [-0.1251824   0.20710157]]

 [[ 0.25237234 -0.04188263]
  [-0.04188263  0.24667358]]]"
12,"López, Pablo",5.582468173089823,9.056052349310587,7.920799427089925,[0.43372944 0.56627056],"[[-0.67842267  2.70209612]
 [ 0.13541806  2.63793701]]","[[[ 0.15763305 -0.0784093 ]
  [-0.0784093   0.26363333]]

 [[ 0.19949974 -0.05013177]
  [-0.05013177  0.33480399]]]"
31,"González, Chi Chi",6.647806487212863,10.62240971438751,7.92620980360812,[0.40427397 0.41602209 0.17970394],"[[-0.3884769   1.91773625]
 [ 0.5654996   2.35350296]
 [ 0.15771775  3.3054836 ]]","[[[ 0.25177177 -0.19655766]
  [-0.19655766  0.29808124]]

 [[ 0.23633376 -0.13761609]
  [-0.13761609  0.27794727]]

 [[ 0.50195055 -0.06184612]
  [-0.06184612  0.10827427]]]"
88,"Richards, Trevor",6.347284746993877,9.976478050351933,7.935129234847565,[0.12482625 0.18694197 0.68823178],"[[-0.73519667  2.03295775]
 [ 0.7065857   3.224271  ]
 [-0.48459503  3.18923694]]","[[[ 0.28877884  0.06329782]
  [ 0.06329782  0.05088025]]

 [[ 0.05452501 -0.06438859]
  [-0.06438859  0.44028363]]

 [[ 0.26465369 -0.06494317]
  [-0.06494317  0.2570982 ]]]"
30,"Smith, Caleb",5.996969476366939,9.879766100659378,7.948153305921295,[0.2756995 0.7243005],"[[-1.00908431  2.08881518]
 [-0.03196449  2.75380288]]","[[[ 0.09590899 -0.0916779 ]
  [-0.0916779   0.28751352]]

 [[ 0.23242335  0.02453306]
  [ 0.02453306  0.35970516]]]"
